municipio_codigo,municipio,dane_codigo,eleccion,corporacion,vuelta,circunscripcion,unidad,votos,votos_candidatos,blancos,validos,pct_validos
106,TULUA,76834,Presidencia 2026,Presidencia,1V,0,GUSTAVO MATAMOROS CAMACHO,21,96046,1956.0,98002.0,0.021428134119711843
106,TULUA,76834,Presidencia 2026,Presidencia,1V,0,IVÁN CEPEDA CASTRO,43206,96046,1956.0,98002.0,44.086855370298565
106,TULUA,76834,Presidencia 2026,Presidencia,1V,0,MIGUEL URIBE LONDOÑO,115,96046,1956.0,98002.0,0.11734454398889818
106,TULUA,76834,Presidencia 2026,Presidencia,1V,0,PALOMA VALENCIA LASERNA,5370,96046,1956.0,98002.0,5.479480010612028
106,TULUA,76834,Presidencia 2026,Presidencia,1V,0,RAÚL SANTIAGO BOTERO JARAMILLO,1063,96046,1956.0,98002.0,1.084671741393033
106,TULUA,76834,Presidencia 2026,Presidencia,1V,0,ROY LEONARDO BARRERAS MONTEALEGRE,78,96046,1956.0,98002.0,0.07959021244464398
106,TULUA,76834,Presidencia 2026,Presidencia,1V,0,SERGIO FAJARDO VALDERRAMA,4061,96046,1956.0,98002.0,4.143792983816657
106,TULUA,76834,Presidencia 2026,Presidencia,1V,0,SONDRA MACOLLINS GARVIN PINTO,73,96046,1956.0,98002.0,0.0744882757494745
106,TULUA,76834,Presidencia 2026,Presidencia,1V,0,ÓSCAR MAURICIO LIZCANO ARANGO,118,96046,1956.0,98002.0,0.12040570600599988
106,TULUA,76834,Presidencia 2026,Presidencia,2V,0,ABELARDO DE LA ESPRIELLA,49177,103063,1746.0,104809.0,46.920588880725894
106,TULUA,76834,Presidencia 2026,Presidencia,2V,0,IVÁN CEPEDA CASTRO,53886,103063,1746.0,104809.0,51.413523647778334
109,ULLOA,76845,Congreso 2026,Consultas,NA,0,"CONSULTA DE LAS SOLUCIONES: SALUD, SEGURIDAD Y EDUCACIÓN",35,519,0.0,519.0,6.74373795761079
109,ULLOA,76845,Congreso 2026,Consultas,NA,0,FRENTE POR LA VIDA,65,519,0.0,519.0,12.524084778420038
109,ULLOA,76845,Congreso 2026,Consultas,NA,0,LA GRAN CONSULTA POR COLOMBIA,419,519,0.0,519.0,80.73217726396918
109,ULLOA,76845,Congreso 2026,Cámara,NA,1,AHORA COLOMBIA,57,2833,36.0,2869.0,1.9867549668874174
109,ULLOA,76845,Congreso 2026,Cámara,NA,1,COALICIÓN FUERZA CIUDADANA,3,2833,36.0,2869.0,0.10456605088881143
109,ULLOA,76845,Congreso 2026,Cámara,NA,1,COALICIÓN LIBERAL - COLOMBIA RENACIENTE,329,2833,36.0,2869.0,11.467410247472987
109,ULLOA,76845,Congreso 2026,Cámara,NA,1,CR-CJL-LIGA DE GOBERNANTES,366,2833,36.0,2869.0,12.757058208434996
109,ULLOA,76845,Congreso 2026,Cámara,NA,1,FRENTE AMPLIO UNITARIO,21,2833,36.0,2869.0,0.73196235622168
109,ULLOA,76845,Congreso 2026,Cámara,NA,1,MOVIMIENTO POLÍTICO PACTO HISTÓRICO,309,2833,36.0,2869.0,10.770303241547577
109,ULLOA,76845,Congreso 2026,Cámara,NA,1,MOVIMIENTO SALVACIÓN NACIONAL,39,2833,36.0,2869.0,1.3593586615545485
109,ULLOA,76845,Congreso 2026,Cámara,NA,1,PARTIDO ALIANZA VERDE,144,2833,36.0,2869.0,5.019170442662949
109,ULLOA,76845,Congreso 2026,Cámara,NA,1,PARTIDO CENTRO DEMOCRÁTICO,207,2833,36.0,2869.0,7.21505751132799
109,ULLOA,76845,Congreso 2026,Cámara,NA,1,PARTIDO CONSERVADOR COLOMBIANO,26,2833,36.0,2869.0,0.9062391077030324
109,ULLOA,76845,Congreso 2026,Cámara,NA,1,PARTIDO DE LA UNIÓN POR LA GENTE - PARTIDO DE LA U,1325,2833,36.0,2869.0,46.18333914255838
109,ULLOA,76845,Congreso 2026,Cámara,NA,1,PARTIDO DEMÓCRATA COLOMBIANO,5,2833,36.0,2869.0,0.17427675148135238
109,ULLOA,76845,Congreso 2026,Cámara,NA,1,PARTIDO POLÍTICO OXÍGENO,2,2833,36.0,2869.0,0.06971070059254096
109,ULLOA,76845,Congreso 2026,Cámara,NA,4,"MOVIMIENTO ALTERNATIVO INDÍGENA Y SOCIAL ""MAIS""",1,1,0.0,1.0,100.0
