municipio_codigo,municipio,dane_codigo,unidad,votos_1v,votos_2v,delta_abs,val_1V,val_2V,pp_1v,pp_2v,delta_pp
010,ANSERMANUEVO,76041,ÓSCAR MAURICIO LIZCANO ARANGO,10,0,-10,8350,9402,0.11976047904191617,0.0,-0.11976047904191617
013,ARGELIA,76054,ABELARDO DE LA ESPRIELLA,1357,2186,829,2726,2962,49.779897285399855,73.8014854827819,24.021588197382044
013,ARGELIA,76054,CLAUDIA LÓPEZ,15,0,-15,2726,2962,0.5502567865003668,0.0,-0.5502567865003668
013,ARGELIA,76054,IVÁN CEPEDA CASTRO,586,735,149,2726,2962,21.496698459280996,24.814314652261984,3.3176161929809886
013,ARGELIA,76054,MIGUEL URIBE LONDOÑO,6,0,-6,2726,2962,0.22010271460014674,0.0,-0.22010271460014674
013,ARGELIA,76054,PALOMA VALENCIA LASERNA,621,0,-621,2726,2962,22.780630961115186,0.0,-22.780630961115186
013,ARGELIA,76054,RAÚL SANTIAGO BOTERO JARAMILLO,53,0,-53,2726,2962,1.9442406456346297,0.0,-1.9442406456346297
013,ARGELIA,76054,ROY LEONARDO BARRERAS MONTEALEGRE,2,0,-2,2726,2962,0.07336757153338225,0.0,-0.07336757153338225
013,ARGELIA,76054,SERGIO FAJARDO VALDERRAMA,49,0,-49,2726,2962,1.797505502567865,0.0,-1.797505502567865
013,ARGELIA,76054,SONDRA MACOLLINS GARVIN PINTO,2,0,-2,2726,2962,0.07336757153338225,0.0,-0.07336757153338225
013,ARGELIA,76054,VOTO EN BLANCO,32,41,9,2726,2962,1.173881144534116,1.3841998649561107,0.21031872042199473
013,ARGELIA,76054,ÓSCAR MAURICIO LIZCANO ARANGO,3,0,-3,2726,2962,0.11005135730007337,0.0,-0.11005135730007337
016,BOLIVAR,76100,ABELARDO DE LA ESPRIELLA,3376,4813,1437,7154,7846,47.19038300251607,61.34335967371909,14.152976671203021
016,BOLIVAR,76100,CLAUDIA LÓPEZ,24,0,-24,7154,7846,0.33547665641599106,0.0,-0.33547665641599106
016,BOLIVAR,76100,GUSTAVO MATAMOROS CAMACHO,1,0,-1,7154,7846,0.01397819401733296,0.0,-0.01397819401733296
016,BOLIVAR,76100,IVÁN CEPEDA CASTRO,2273,2934,661,7154,7846,31.77243500139782,37.39485087942901,5.6224158780311875
016,BOLIVAR,76100,MIGUEL URIBE LONDOÑO,7,0,-7,7154,7846,0.09784735812133072,0.0,-0.09784735812133072
016,BOLIVAR,76100,PALOMA VALENCIA LASERNA,1105,0,-1105,7154,7846,15.44590438915292,0.0,-15.44590438915292
016,BOLIVAR,76100,RAÚL SANTIAGO BOTERO JARAMILLO,117,0,-117,7154,7846,1.6354487000279565,0.0,-1.6354487000279565
016,BOLIVAR,76100,ROY LEONARDO BARRERAS MONTEALEGRE,6,0,-6,7154,7846,0.08386916410399776,0.0,-0.08386916410399776
016,BOLIVAR,76100,SERGIO FAJARDO VALDERRAMA,126,0,-126,7154,7846,1.761252446183953,0.0,-1.761252446183953
016,BOLIVAR,76100,SONDRA MACOLLINS GARVIN PINTO,11,0,-11,7154,7846,0.15376013419066256,0.0,-0.15376013419066256
016,BOLIVAR,76100,VOTO EN BLANCO,101,99,-2,7154,7846,1.411797595750629,1.261789446851899,-0.15000814889872993
016,BOLIVAR,76100,ÓSCAR MAURICIO LIZCANO ARANGO,7,0,-7,7154,7846,0.09784735812133072,0.0,-0.09784735812133072
019,BUENAVENTURA,76109,ABELARDO DE LA ESPRIELLA,10796,15832,5036,90258,114473,11.961266591327083,13.830335537637698,1.8690689463106143
019,BUENAVENTURA,76109,CLAUDIA LÓPEZ,277,0,-277,90258,114473,0.3068980035010747,0.0,-0.3068980035010747
019,BUENAVENTURA,76109,GUSTAVO MATAMOROS CAMACHO,39,0,-39,90258,114473,0.04320946619690221,0.0,-0.04320946619690221
019,BUENAVENTURA,76109,IVÁN CEPEDA CASTRO,72811,97863,25052,90258,114473,80.66985751955505,85.49002821626061,4.82017069670556
019,BUENAVENTURA,76109,MIGUEL URIBE LONDOÑO,80,0,-80,90258,114473,0.08863480245518403,0.0,-0.08863480245518403
019,BUENAVENTURA,76109,PALOMA VALENCIA LASERNA,3309,0,-3309,90258,114473,3.666157016552549,0.0,-3.666157016552549
019,BUENAVENTURA,76109,RAÚL SANTIAGO BOTERO JARAMILLO,570,0,-570,90258,114473,0.6315229674931861,0.0,-0.6315229674931861
019,BUENAVENTURA,76109,ROY LEONARDO BARRERAS MONTEALEGRE,93,0,-93,90258,114473,0.10303795785415143,0.0,-0.10303795785415143
019,BUENAVENTURA,76109,SERGIO FAJARDO VALDERRAMA,843,0,-843,90258,114473,0.9339892308715018,0.0,-0.9339892308715018
019,BUENAVENTURA,76109,SONDRA MACOLLINS GARVIN PINTO,58,0,-58,90258,114473,0.06426023178000842,0.0,-0.06426023178000842
019,BUENAVENTURA,76109,VOTO EN BLANCO,1223,778,-445,90258,114473,1.3550045425336257,0.6796362461017008,-0.6753682964319249
019,BUENAVENTURA,76109,ÓSCAR MAURICIO LIZCANO ARANGO,159,0,-159,90258,114473,0.17616166987967824,0.0,-0.17616166987967824
022,BUGA,76111,ABELARDO DE LA ESPRIELLA,20646,24328,3682,64811,69927,31.8557035071207,34.79056730590473,2.934863798784029
022,BUGA,76111,CLAUDIA LÓPEZ,350,0,-350,64811,69927,0.5400317847279011,0.0,-0.5400317847279011
022,BUGA,76111,GUSTAVO MATAMOROS CAMACHO,13,0,-13,64811,69927,0.020058323432750613,0.0,-0.020058323432750613
022,BUGA,76111,IVÁN CEPEDA CASTRO,36727,44609,7882,64811,69927,56.66784959343322,63.7936705421368,7.125820948703584
022,BUGA,76111,MIGUEL URIBE LONDOÑO,60,0,-60,64811,69927,0.09257687738192591,0.0,-0.09257687738192591
022,BUGA,76111,PALOMA VALENCIA LASERNA,2698,0,-2698,64811,69927,4.1628735862739354,0.0,-4.1628735862739354
022,BUGA,76111,RAÚL SANTIAGO BOTERO JARAMILLO,474,0,-474,64811,69927,0.7313573313172147,0.0,-0.7313573313172147
022,BUGA,76111,ROY LEONARDO BARRERAS MONTEALEGRE,36,0,-36,64811,69927,0.055546126429155546,0.0,-0.055546126429155546
022,BUGA,76111,SERGIO FAJARDO VALDERRAMA,2522,0,-2522,64811,69927,3.891314745953619,0.0,-3.891314745953619
022,BUGA,76111,SONDRA MACOLLINS GARVIN PINTO,28,0,-28,64811,69927,0.04320254277823209,0.0,-0.04320254277823209
022,BUGA,76111,VOTO EN BLANCO,1180,990,-190,64811,69927,1.8206785885112093,1.4157621519584709,-0.40491643655273846
022,BUGA,76111,ÓSCAR MAURICIO LIZCANO ARANGO,77,0,-77,64811,69927,0.11880699264013823,0.0,-0.11880699264013823
025,BUGALAGRANDE,76113,ABELARDO DE LA ESPRIELLA,3130,4034,904,11913,13072,26.273818517585827,30.85985312117503,4.5860346035892015
025,BUGALAGRANDE,76113,CLAUDIA LÓPEZ,40,0,-40,11913,13072,0.33576764878703935,0.0,-0.33576764878703935
025,BUGALAGRANDE,76113,GUSTAVO MATAMOROS CAMACHO,1,0,-1,11913,13072,0.008394191219675984,0.0,-0.008394191219675984
025,BUGALAGRANDE,76113,IVÁN CEPEDA CASTRO,7580,8893,1313,11913,13072,63.62796944514396,68.03090575275398,4.40293630761002
025,BUGALAGRANDE,76113,MIGUEL URIBE LONDOÑO,19,0,-19,11913,13072,0.1594896331738437,0.0,-0.1594896331738437
025,BUGALAGRANDE,76113,PALOMA VALENCIA LASERNA,569,0,-569,11913,13072,4.776294803995635,0.0,-4.776294803995635
025,BUGALAGRANDE,76113,RAÚL SANTIAGO BOTERO JARAMILLO,124,0,-124,11913,13072,1.040879711239822,0.0,-1.040879711239822
025,BUGALAGRANDE,76113,ROY LEONARDO BARRERAS MONTEALEGRE,11,0,-11,11913,13072,0.09233610341643582,0.0,-0.09233610341643582
025,BUGALAGRANDE,76113,SERGIO FAJARDO VALDERRAMA,242,0,-242,11913,13072,2.0313942751615883,0.0,-2.0313942751615883
025,BUGALAGRANDE,76113,SONDRA MACOLLINS GARVIN PINTO,7,0,-7,11913,13072,0.05875933853773189,0.0,-0.05875933853773189
025,BUGALAGRANDE,76113,VOTO EN BLANCO,177,145,-32,11913,13072,1.4857718458826492,1.1092411260709913,-0.37653071981165787
025,BUGALAGRANDE,76113,ÓSCAR MAURICIO LIZCANO ARANGO,13,0,-13,11913,13072,0.1091244858557878,0.0,-0.1091244858557878
028,CAICEDONIA,76122,ABELARDO DE LA ESPRIELLA,6692,8953,2261,13900,15004,48.143884892086334,59.67075446547587,11.52686957338954
028,CAICEDONIA,76122,CLAUDIA LÓPEZ,107,0,-107,13900,15004,0.7697841726618705,0.0,-0.7697841726618705
028,CAICEDONIA,76122,GUSTAVO MATAMOROS CAMACHO,3,0,-3,13900,15004,0.02158273381294964,0.0,-0.02158273381294964
028,CAICEDONIA,76122,IVÁN CEPEDA CASTRO,4478,5795,1317,13900,15004,32.2158273381295,38.623033857637964,6.407206519508463
028,CAICEDONIA,76122,MIGUEL URIBE LONDOÑO,24,0,-24,13900,15004,0.17266187050359713,0.0,-0.17266187050359713
028,CAICEDONIA,76122,PALOMA VALENCIA LASERNA,1681,0,-1681,13900,15004,12.093525179856115,0.0,-12.093525179856115
028,CAICEDONIA,76122,RAÚL SANTIAGO BOTERO JARAMILLO,163,0,-163,13900,15004,1.1726618705035972,0.0,-1.1726618705035972
028,CAICEDONIA,76122,ROY LEONARDO BARRERAS MONTEALEGRE,30,0,-30,13900,15004,0.2158273381294964,0.0,-0.2158273381294964
028,CAICEDONIA,76122,SERGIO FAJARDO VALDERRAMA,406,0,-406,13900,15004,2.920863309352518,0.0,-2.920863309352518
028,CAICEDONIA,76122,SONDRA MACOLLINS GARVIN PINTO,17,0,-17,13900,15004,0.1223021582733813,0.0,-0.1223021582733813
028,CAICEDONIA,76122,VOTO EN BLANCO,267,256,-11,13900,15004,1.920863309352518,1.7062116768861637,-0.21465163246635433
028,CAICEDONIA,76122,ÓSCAR MAURICIO LIZCANO ARANGO,32,0,-32,13900,15004,0.23021582733812948,0.0,-0.23021582733812948
031,CANDELARIA,76130,ABELARDO DE LA ESPRIELLA,11823,14511,2688,54012,58891,21.889580093312595,24.64043741828123,2.750857324968635
031,CANDELARIA,76130,CLAUDIA LÓPEZ,304,0,-304,54012,58891,0.5628378878767681,0.0,-0.5628378878767681
031,CANDELARIA,76130,GUSTAVO MATAMOROS CAMACHO,5,0,-5,54012,58891,0.009257202103236318,0.0,-0.009257202103236318
031,CANDELARIA,76130,IVÁN CEPEDA CASTRO,36444,43649,7205,54012,58891,67.47389469006887,74.11828632558456,6.644391635515689
031,CANDELARIA,76130,MIGUEL URIBE LONDOÑO,38,0,-38,54012,58891,0.07035473598459602,0.0,-0.07035473598459602
031,CANDELARIA,76130,PALOMA VALENCIA LASERNA,2379,0,-2379,54012,58891,4.4045767607198405,0.0,-4.4045767607198405
031,CANDELARIA,76130,RAÚL SANTIAGO BOTERO JARAMILLO,386,0,-386,54012,58891,0.7146560023698437,0.0,-0.7146560023698437
031,CANDELARIA,76130,ROY LEONARDO BARRERAS MONTEALEGRE,33,0,-33,54012,58891,0.0610975338813597,0.0,-0.0610975338813597
031,CANDELARIA,76130,SERGIO FAJARDO VALDERRAMA,1309,0,-1309,54012,58891,2.4235355106272682,0.0,-2.4235355106272682
031,CANDELARIA,76130,SONDRA MACOLLINS GARVIN PINTO,49,0,-49,54012,58891,0.09072058061171591,0.0,-0.09072058061171591
031,CANDELARIA,76130,VOTO EN BLANCO,1134,731,-403,54012,58891,2.0995334370139966,1.241276256134214,-0.8582571808797825
031,CANDELARIA,76130,ÓSCAR MAURICIO LIZCANO ARANGO,108,0,-108,54012,58891,0.19995556542990447,0.0,-0.19995556542990447
034,CARTAGO,76147,ABELARDO DE LA ESPRIELLA,30263,36840,6577,65647,70161,46.09959327920545,52.50780348056613,6.408210201360681
034,CARTAGO,76147,CLAUDIA LÓPEZ,475,0,-475,65647,70161,0.7235669566012156,0.0,-0.7235669566012156
034,CARTAGO,76147,GUSTAVO MATAMOROS CAMACHO,30,0,-30,65647,70161,0.045698965680076774,0.0,-0.045698965680076774
034,CARTAGO,76147,IVÁN CEPEDA CASTRO,24810,32056,7246,65647,70161,37.79304461742349,45.689200553013784,7.8961559355902935
034,CARTAGO,76147,MIGUEL URIBE LONDOÑO,93,0,-93,65647,70161,0.141666793608238,0.0,-0.141666793608238
034,CARTAGO,76147,PALOMA VALENCIA LASERNA,4669,0,-4669,65647,70161,7.112282358675949,0.0,-7.112282358675949
034,CARTAGO,76147,RAÚL SANTIAGO BOTERO JARAMILLO,849,0,-849,65647,70161,1.2932807287461727,0.0,-1.2932807287461727
034,CARTAGO,76147,ROY LEONARDO BARRERAS MONTEALEGRE,42,0,-42,65647,70161,0.06397855195210748,0.0,-0.06397855195210748
034,CARTAGO,76147,SERGIO FAJARDO VALDERRAMA,2915,0,-2915,65647,70161,4.44041616524746,0.0,-4.44041616524746
034,CARTAGO,76147,SONDRA MACOLLINS GARVIN PINTO,54,0,-54,65647,70161,0.08225813822413819,0.0,-0.08225813822413819
034,CARTAGO,76147,VOTO EN BLANCO,1345,1265,-80,65647,70161,2.0488369613234423,1.8029959664200907,-0.24584099490335154
034,CARTAGO,76147,ÓSCAR MAURICIO LIZCANO ARANGO,102,0,-102,65647,70161,0.15537648331226103,0.0,-0.15537648331226103
037,DAGUA,76233,ABELARDO DE LA ESPRIELLA,7149,9456,2307,19123,21846,37.384301626313864,43.28481186487229,5.900510238558425
037,DAGUA,76233,CLAUDIA LÓPEZ,107,0,-107,19123,21846,0.5595356377137478,0.0,-0.5595356377137478
037,DAGUA,76233,GUSTAVO MATAMOROS CAMACHO,9,0,-9,19123,21846,0.047063745228259166,0.0,-0.047063745228259166
037,DAGUA,76233,IVÁN CEPEDA CASTRO,9146,12098,2952,19123,21846,47.82722376196203,55.378559003936644,7.551335241974613
037,DAGUA,76233,MIGUEL URIBE LONDOÑO,51,0,-51,19123,21846,0.2666945562934686,0.0,-0.2666945562934686
037,DAGUA,76233,PALOMA VALENCIA LASERNA,1605,0,-1605,19123,21846,8.393034565706218,0.0,-8.393034565706218
037,DAGUA,76233,RAÚL SANTIAGO BOTERO JARAMILLO,274,0,-274,19123,21846,1.4328295769492234,0.0,-1.4328295769492234
037,DAGUA,76233,ROY LEONARDO BARRERAS MONTEALEGRE,21,0,-21,19123,21846,0.10981540553260472,0.0,-0.10981540553260472
037,DAGUA,76233,SERGIO FAJARDO VALDERRAMA,298,0,-298,19123,21846,1.5583328975579145,0.0,-1.5583328975579145
037,DAGUA,76233,SONDRA MACOLLINS GARVIN PINTO,23,0,-23,19123,21846,0.12027401558332898,0.0,-0.12027401558332898
037,DAGUA,76233,VOTO EN BLANCO,403,292,-111,19123,21846,2.107409925220938,1.3366291311910647,-0.7707807940298734
037,DAGUA,76233,ÓSCAR MAURICIO LIZCANO ARANGO,37,0,-37,19123,21846,0.19348428593839878,0.0,-0.19348428593839878
040,CALIMA (DARIEN),76126,ABELARDO DE LA ESPRIELLA,3579,4486,907,8334,9460,42.94456443484521,47.420718816067655,4.476154381222443
040,CALIMA (DARIEN),76126,CLAUDIA LÓPEZ,55,0,-55,8334,9460,0.659947204223662,0.0,-0.659947204223662
040,CALIMA (DARIEN),76126,GUSTAVO MATAMOROS CAMACHO,2,0,-2,8334,9460,0.023998080153587713,0.0,-0.023998080153587713
040,CALIMA (DARIEN),76126,IVÁN CEPEDA CASTRO,3637,4802,1165,8334,9460,43.64050875929926,50.761099365750525,7.120590606451266
040,CALIMA (DARIEN),76126,MIGUEL URIBE LONDOÑO,8,0,-8,8334,9460,0.09599232061435085,0.0,-0.09599232061435085
040,CALIMA (DARIEN),76126,PALOMA VALENCIA LASERNA,474,0,-474,8334,9460,5.6875449964002875,0.0,-5.6875449964002875
040,CALIMA (DARIEN),76126,RAÚL SANTIAGO BOTERO JARAMILLO,115,0,-115,8334,9460,1.3798896088312935,0.0,-1.3798896088312935
040,CALIMA (DARIEN),76126,ROY LEONARDO BARRERAS MONTEALEGRE,5,0,-5,8334,9460,0.059995200383969285,0.0,-0.059995200383969285
040,CALIMA (DARIEN),76126,SERGIO FAJARDO VALDERRAMA,221,0,-221,8334,9460,2.6517878569714424,0.0,-2.6517878569714424
040,CALIMA (DARIEN),76126,SONDRA MACOLLINS GARVIN PINTO,10,0,-10,8334,9460,0.11999040076793857,0.0,-0.11999040076793857
040,CALIMA (DARIEN),76126,VOTO EN BLANCO,206,172,-34,8334,9460,2.4718022558195343,1.8181818181818181,-0.6536204376377162
040,CALIMA (DARIEN),76126,ÓSCAR MAURICIO LIZCANO ARANGO,22,0,-22,8334,9460,0.2639788816894648,0.0,-0.2639788816894648
043,EL AGUILA,76243,ABELARDO DE LA ESPRIELLA,1927,3096,1169,3688,4089,52.25054229934925,75.71533382245048,23.464791523101226
043,EL AGUILA,76243,CLAUDIA LÓPEZ,23,0,-23,3688,4089,0.6236442516268981,0.0,-0.6236442516268981
043,EL AGUILA,76243,GUSTAVO MATAMOROS CAMACHO,2,0,-2,3688,4089,0.05422993492407809,0.0,-0.05422993492407809
043,EL AGUILA,76243,IVÁN CEPEDA CASTRO,717,915,198,3688,4089,19.441431670281993,22.377109317681583,2.93567764739959
043,EL AGUILA,76243,MIGUEL URIBE LONDOÑO,17,0,-17,3688,4089,0.46095444685466375,0.0,-0.46095444685466375
043,EL AGUILA,76243,PALOMA VALENCIA LASERNA,762,0,-762,3688,4089,20.66160520607375,0.0,-20.66160520607375
043,EL AGUILA,76243,RAÚL SANTIAGO BOTERO JARAMILLO,70,0,-70,3688,4089,1.8980477223427332,0.0,-1.8980477223427332
043,EL AGUILA,76243,ROY LEONARDO BARRERAS MONTEALEGRE,2,0,-2,3688,4089,0.05422993492407809,0.0,-0.05422993492407809
043,EL AGUILA,76243,SERGIO FAJARDO VALDERRAMA,73,0,-73,3688,4089,1.9793926247288502,0.0,-1.9793926247288502
043,EL AGUILA,76243,SONDRA MACOLLINS GARVIN PINTO,6,0,-6,3688,4089,0.16268980477223427,0.0,-0.16268980477223427
043,EL AGUILA,76243,VOTO EN BLANCO,82,78,-4,3688,4089,2.2234273318872018,1.9075568598679384,-0.3158704720192633
043,EL AGUILA,76243,ÓSCAR MAURICIO LIZCANO ARANGO,7,0,-7,3688,4089,0.1898047722342733,0.0,-0.1898047722342733
046,EL CAIRO,76246,ABELARDO DE LA ESPRIELLA,1311,2139,828,2781,3152,47.14131607335491,67.86167512690355,20.72035905354864
046,EL CAIRO,76246,CLAUDIA LÓPEZ,15,0,-15,2781,3152,0.5393743257820928,0.0,-0.5393743257820928
046,EL CAIRO,76246,GUSTAVO MATAMOROS CAMACHO,1,0,-1,2781,3152,0.03595828838547285,0.0,-0.03595828838547285
046,EL CAIRO,76246,IVÁN CEPEDA CASTRO,739,954,215,2781,3152,26.57317511686444,30.26649746192893,3.693322345064491
046,EL CAIRO,76246,MIGUEL URIBE LONDOÑO,11,0,-11,2781,3152,0.3955411722402014,0.0,-0.3955411722402014
046,EL CAIRO,76246,PALOMA VALENCIA LASERNA,512,0,-512,2781,3152,18.4106436533621,0.0,-18.4106436533621
046,EL CAIRO,76246,RAÚL SANTIAGO BOTERO JARAMILLO,46,0,-46,2781,3152,1.6540812657317512,0.0,-1.6540812657317512
046,EL CAIRO,76246,ROY LEONARDO BARRERAS MONTEALEGRE,10,0,-10,2781,3152,0.35958288385472853,0.0,-0.35958288385472853
046,EL CAIRO,76246,SERGIO FAJARDO VALDERRAMA,67,0,-67,2781,3152,2.409205321826681,0.0,-2.409205321826681
046,EL CAIRO,76246,SONDRA MACOLLINS GARVIN PINTO,8,0,-8,2781,3152,0.2876663070837828,0.0,-0.2876663070837828
