territorio_nombre,eleccion,corporacion,vuelta,circunscripcion,unidad,votos,votos_candidatos,blancos,validos,pct_validos
Comuna 1,Congreso 2026,Senado,NA,0,COLOMBIA SEGURA Y PRÓSPERA,9,17054,542,17596,0.05114798817913162
Comuna 1,Congreso 2026,Senado,NA,0,CREEMOS,30,17054,542,17596,0.17049329393043874
Comuna 1,Congreso 2026,Senado,NA,0,FRENTE AMPLIO UNITARIO,173,17054,542,17596,0.9831779949988634
Comuna 1,Congreso 2026,Senado,NA,0,LA LISTA DE OVIEDO - CON TODA POR COLOMBIA,62,17054,542,17596,0.3523528074562401
Comuna 1,Congreso 2026,Senado,NA,0,MOVIMIENTO SALVACIÓN NACIONAL,500,17054,542,17596,2.841554898840646
Comuna 1,Congreso 2026,Senado,NA,0,PACTO HISTÓRICO SENADO,8666,17054,542,17596,49.24982950670607
Comuna 1,Congreso 2026,Senado,NA,0,PARTIDO CENTRO DEMOCRÁTICO,1600,17054,542,17596,9.092975676290067
Comuna 1,Congreso 2026,Senado,NA,0,PARTIDO CONSERVADOR COLOMBIANO,435,17054,542,17596,2.472152761991362
Comuna 1,Congreso 2026,Senado,NA,0,PARTIDO DE LA UNIÓN POR LA GENTE - PARTIDO DE LA U,1834,17054,542,17596,10.422823368947489
Comuna 1,Congreso 2026,Senado,NA,0,PARTIDO LIBERAL COLOMBIANO,968,17054,542,17596,5.50125028415549
Comuna 1,Congreso 2026,Senado,NA,0,PARTIDO POLÍTICO OXÍGENO,37,17054,542,17596,0.2102750625142078
Comuna 1,Congreso 2026,Senado,NA,0,PATRIOTAS,11,17054,542,17596,0.06251420777449421
Comuna 1,Congreso 2026,Senado,NA,4,ACMIZSAM,1,37,25,62,1.6129032258064515
Comuna 1,Congreso 2026,Senado,NA,4,ASOCIACIÓN DE AUTORIDADES TRADICIONALES INDÍGENAS,5,37,25,62,8.064516129032258
Comuna 1,Congreso 2026,Senado,NA,4,ASOCIACIÓN DE CABILDOS INDÍGENAS POR COLOMBIA,1,37,25,62,1.6129032258064515
Comuna 1,Congreso 2026,Senado,NA,4,"ASOCIACIÓN NACIONAL INDÍGENA DE COLOMBIA ""ANIC""",2,37,25,62,3.225806451612903
Comuna 1,Congreso 2026,Senado,NA,4,CABILDO INDÉGENA TEVIS,1,37,25,62,1.6129032258064515
Comuna 1,Congreso 2026,Senado,NA,4,"MOVIMIENTO ALTERNATIVO INDÍGENA Y SOCIAL ""MAIS""",10,37,25,62,16.129032258064516
Comuna 1,Congreso 2026,Senado,NA,4,"MOVIMIENTO AUTORIDADES INDÍGENAS DE COLOMBIA ""AICO""",8,37,25,62,12.903225806451612
Comuna 1,Congreso 2026,Senado,NA,4,MOVIMIENTO SI,3,37,25,62,4.838709677419355
Comuna 1,Congreso 2026,Senado,NA,4,MOVIMIENTO UNIDAD EN MINGA POR COLOMBIA,6,37,25,62,9.67741935483871
Comuna 1,Presidencia 2026,Presidencia,1V,0,ABELARDO DE LA ESPRIELLA,6037,22669,533,23202,26.01930868028618
Comuna 1,Presidencia 2026,Presidencia,1V,0,CLAUDIA LÓPEZ,148,22669,533,23202,0.6378760451685199
Comuna 1,Presidencia 2026,Presidencia,1V,0,GUSTAVO MATAMOROS CAMACHO,5,22669,533,23202,0.021549866390828377
Comuna 1,Presidencia 2026,Presidencia,1V,0,IVÁN CEPEDA CASTRO,14283,22669,533,23202,61.559348332040344
Comuna 1,Presidencia 2026,Presidencia,1V,0,MIGUEL URIBE LONDOÑO,22,22669,533,23202,0.09481941211964486
Comuna 1,Presidencia 2026,Presidencia,1V,0,PALOMA VALENCIA LASERNA,1120,22669,533,23202,4.827170071545557
Comuna 1,Presidencia 2026,Presidencia,1V,0,RAÚL SANTIAGO BOTERO JARAMILLO,133,22669,533,23202,0.5732264459960348
Comuna 1,Presidencia 2026,Presidencia,1V,0,ROY LEONARDO BARRERAS MONTEALEGRE,17,22669,533,23202,0.07326954572881648
