territorio_nombre,unidad,votos_1v,votos_2v,delta_abs,val_1V,val_2V,pp_1v,pp_2v,delta_pp
Comuna 13,CLAUDIA LÓPEZ,412,0,-412,60195,67956,0.6844422294210483,0.0,-0.6844422294210483
Comuna 13,GUSTAVO MATAMOROS CAMACHO,18,0,-18,60195,67956,0.029902815848492397,0.0,-0.029902815848492397
Comuna 13,IVÁN CEPEDA CASTRO,39069,49514,10445,60195,67956,64.90406179915276,72.86185178645006,7.9577899872973035
Comuna 13,MIGUEL URIBE LONDOÑO,76,0,-76,60195,67956,0.12625633358252344,0.0,-0.12625633358252344
Comuna 13,PALOMA VALENCIA LASERNA,2874,0,-2874,60195,67956,4.774482930475953,0.0,-4.774482930475953
Comuna 13,RAÚL SANTIAGO BOTERO JARAMILLO,400,0,-400,60195,67956,0.6645070188553867,0.0,-0.6645070188553867
Comuna 13,ROY LEONARDO BARRERAS MONTEALEGRE,35,0,-35,60195,67956,0.058144364149846334,0.0,-0.058144364149846334
Comuna 13,SERGIO FAJARDO VALDERRAMA,1665,0,-1665,60195,67956,2.766010465985547,0.0,-2.766010465985547
Comuna 13,SONDRA MACOLLINS GARVIN PINTO,56,0,-56,60195,67956,0.09303098263975414,0.0,-0.09303098263975414
Comuna 13,VOTO EN BLANCO,1385,945,-440,60195,67956,2.3008555527867762,1.3906056860321385,-0.9102498667546377
Comuna 13,ÓSCAR MAURICIO LIZCANO ARANGO,134,0,-134,60195,67956,0.22260985131655453,0.0,-0.22260985131655453
Comuna 14,ABELARDO DE LA ESPRIELLA,12214,15329,3115,60606,70494,20.153120153120152,21.745113059267453,1.5919929061473006
Comuna 14,CLAUDIA LÓPEZ,350,0,-350,60606,70494,0.5775005775005776,0.0,-0.5775005775005776
Comuna 14,GUSTAVO MATAMOROS CAMACHO,15,0,-15,60606,70494,0.02475002475002475,0.0,-0.02475002475002475
Comuna 14,IVÁN CEPEDA CASTRO,41992,54217,12225,60606,70494,69.28686928686929,76.91009163900475,7.623222352135457
Comuna 14,MIGUEL URIBE LONDOÑO,77,0,-77,60606,70494,0.12705012705012705,0.0,-0.12705012705012705
Comuna 14,PALOMA VALENCIA LASERNA,2446,0,-2446,60606,70494,4.035904035904036,0.0,-4.035904035904036
Comuna 14,RAÚL SANTIAGO BOTERO JARAMILLO,441,0,-441,60606,70494,0.7276507276507277,0.0,-0.7276507276507277
Comuna 14,ROY LEONARDO BARRERAS MONTEALEGRE,55,0,-55,60606,70494,0.09075009075009076,0.0,-0.09075009075009076
Comuna 14,SERGIO FAJARDO VALDERRAMA,1289,0,-1289,60606,70494,2.126852126852127,0.0,-2.126852126852127
Comuna 14,SONDRA MACOLLINS GARVIN PINTO,66,0,-66,60606,70494,0.10890010890010891,0.0,-0.10890010890010891
Comuna 14,VOTO EN BLANCO,1545,948,-597,60606,70494,2.5492525492525493,1.3447953017278067,-1.2044572475247426
Comuna 14,ÓSCAR MAURICIO LIZCANO ARANGO,116,0,-116,60606,70494,0.19140019140019138,0.0,-0.19140019140019138
Comuna 15,ABELARDO DE LA ESPRIELLA,10133,12453,2320,45640,52429,22.20201577563541,23.752121917259533,1.5501061416241235
Comuna 15,CLAUDIA LÓPEZ,287,0,-287,45640,52429,0.6288343558282209,0.0,-0.6288343558282209
Comuna 15,GUSTAVO MATAMOROS CAMACHO,14,0,-14,45640,52429,0.030674846625766874,0.0,-0.030674846625766874
Comuna 15,IVÁN CEPEDA CASTRO,30421,39261,8840,45640,52429,66.65425065731813,74.88412901256937,8.229878355251245
Comuna 15,MIGUEL URIBE LONDOÑO,63,0,-63,45640,52429,0.13803680981595093,0.0,-0.13803680981595093
Comuna 15,PALOMA VALENCIA LASERNA,1949,0,-1949,45640,52429,4.2703768624014025,0.0,-4.2703768624014025
