municipio_codigo,municipio,zona,eleccion,corporacion,vuelta,circunscripcion,unidad,votos,votos_candidatos,blancos,validos,pct_validos
001,CALI,01,Congreso 2026,Cámara,NA,5,FUNDACIÓN ARTÍSTICA CULTURAL SALSA Y RUMBA,3,215,111.0,326.0,0.9202453987730062
001,CALI,01,Congreso 2026,Cámara,NA,5,FUNDACIÓN ORSUBA,3,215,111.0,326.0,0.9202453987730062
001,CALI,01,Congreso 2026,Cámara,NA,5,"FUNDACIÓN SEMILLAS PARA UNA VIDA DIGNA ""FUSEMVID""",1,215,111.0,326.0,0.3067484662576687
001,CALI,01,Congreso 2026,Cámara,NA,5,LOS SABANEROS DEL CORREGIMIENTO DE MINGUILLO,1,215,111.0,326.0,0.3067484662576687
001,CALI,01,Congreso 2026,Cámara,NA,5,PARTIDO ECOLOGISTA COLOMBIANO,4,215,111.0,326.0,1.2269938650306749
001,CALI,01,Congreso 2026,Cámara,NA,5,TODO ES POSIBLE,3,215,111.0,326.0,0.9202453987730062
001,CALI,01,Congreso 2026,Senado,NA,0,AHORA COLOMBIA,852,17054,542.0,17596.0,4.8420095476244605
001,CALI,01,Congreso 2026,Senado,NA,0,ALIANZA POR COLOMBIA,813,17054,542.0,17596.0,4.620368265514889
001,CALI,01,Congreso 2026,Senado,NA,0,COALICIÓN CAMBIO RADICAL - ALMA,1011,17054,542.0,17596.0,5.745624005455785
001,CALI,01,Congreso 2026,Senado,NA,0,COALICIÓN FUERZA CIUDADANA,53,17054,542.0,17596.0,0.30120481927710846
001,CALI,01,Congreso 2026,Senado,NA,0,COLOMBIA SEGURA Y PRÓSPERA,9,17054,542.0,17596.0,0.05114798817913162
001,CALI,01,Congreso 2026,Senado,NA,0,CREEMOS,30,17054,542.0,17596.0,0.17049329393043874
001,CALI,01,Congreso 2026,Senado,NA,0,FRENTE AMPLIO UNITARIO,173,17054,542.0,17596.0,0.9831779949988634
001,CALI,01,Congreso 2026,Senado,NA,0,LA LISTA DE OVIEDO - CON TODA POR COLOMBIA,62,17054,542.0,17596.0,0.3523528074562401
001,CALI,01,Congreso 2026,Senado,NA,0,MOVIMIENTO SALVACIÓN NACIONAL,500,17054,542.0,17596.0,2.841554898840646
001,CALI,01,Congreso 2026,Senado,NA,0,PACTO HISTÓRICO SENADO,8666,17054,542.0,17596.0,49.24982950670607
001,CALI,01,Congreso 2026,Senado,NA,0,PARTIDO CENTRO DEMOCRÁTICO,1600,17054,542.0,17596.0,9.092975676290067
001,CALI,01,Congreso 2026,Senado,NA,0,PARTIDO CONSERVADOR COLOMBIANO,435,17054,542.0,17596.0,2.472152761991362
001,CALI,01,Congreso 2026,Senado,NA,0,PARTIDO DE LA UNIÓN POR LA GENTE - PARTIDO DE LA U,1834,17054,542.0,17596.0,10.422823368947489
001,CALI,01,Congreso 2026,Senado,NA,0,PARTIDO LIBERAL COLOMBIANO,968,17054,542.0,17596.0,5.50125028415549
001,CALI,01,Congreso 2026,Senado,NA,0,PARTIDO POLÍTICO OXÍGENO,37,17054,542.0,17596.0,0.2102750625142078
001,CALI,01,Congreso 2026,Senado,NA,0,PATRIOTAS,11,17054,542.0,17596.0,0.06251420777449421
001,CALI,01,Congreso 2026,Senado,NA,4,ACMIZSAM,1,37,25.0,62.0,1.6129032258064515
001,CALI,01,Congreso 2026,Senado,NA,4,ASOCIACIÓN DE AUTORIDADES TRADICIONALES INDÍGENAS,5,37,25.0,62.0,8.064516129032258
