territorio_nombre,eleccion,corporacion,vuelta,circunscripcion,unidad,votos,votos_candidatos,blancos,validos,pct_validos
Corregimiento Navarro,Congreso 2026,Consultas,NA,0,"CONSULTA DE LAS SOLUCIONES: SALUD, SEGURIDAD Y EDUCACIÓN",22,120,0.0,120.0,18.333333333333332
Corregimiento Navarro,Congreso 2026,Consultas,NA,0,FRENTE POR LA VIDA,21,120,0.0,120.0,17.5
Corregimiento Navarro,Congreso 2026,Consultas,NA,0,LA GRAN CONSULTA POR COLOMBIA,77,120,0.0,120.0,64.16666666666667
Corregimiento Navarro,Congreso 2026,Cámara,NA,1,AHORA COLOMBIA,54,1002,30.0,1032.0,5.232558139534884
Corregimiento Navarro,Congreso 2026,Cámara,NA,1,COALICIÓN FUERZA CIUDADANA,9,1002,30.0,1032.0,0.872093023255814
Corregimiento Navarro,Congreso 2026,Cámara,NA,1,COALICIÓN LIBERAL - COLOMBIA RENACIENTE,52,1002,30.0,1032.0,5.038759689922481
Corregimiento Navarro,Congreso 2026,Cámara,NA,1,CR-CJL-LIGA DE GOBERNANTES,69,1002,30.0,1032.0,6.686046511627906
Corregimiento Navarro,Congreso 2026,Cámara,NA,1,FRENTE AMPLIO UNITARIO,9,1002,30.0,1032.0,0.872093023255814
Corregimiento Navarro,Congreso 2026,Cámara,NA,1,"MOVIMIENTO AUTORIDADES INDÍGENAS DE COLOMBIA ""AICO""",3,1002,30.0,1032.0,0.29069767441860467
Corregimiento Navarro,Congreso 2026,Cámara,NA,1,MOVIMIENTO POLÍTICO PACTO HISTÓRICO,429,1002,30.0,1032.0,41.56976744186046
Corregimiento Navarro,Congreso 2026,Cámara,NA,1,MOVIMIENTO SALVACIÓN NACIONAL,15,1002,30.0,1032.0,1.4534883720930232
Corregimiento Navarro,Congreso 2026,Cámara,NA,1,PARTIDO ALIANZA VERDE,31,1002,30.0,1032.0,3.003875968992248
Corregimiento Navarro,Congreso 2026,Cámara,NA,1,PARTIDO CENTRO DEMOCRÁTICO,65,1002,30.0,1032.0,6.2984496124031
Corregimiento Navarro,Congreso 2026,Cámara,NA,1,PARTIDO CONSERVADOR COLOMBIANO,29,1002,30.0,1032.0,2.810077519379845
Corregimiento Navarro,Congreso 2026,Cámara,NA,1,PARTIDO DE LA UNIÓN POR LA GENTE - PARTIDO DE LA U,232,1002,30.0,1032.0,22.48062015503876
Corregimiento Navarro,Congreso 2026,Cámara,NA,1,PARTIDO DEMÓCRATA COLOMBIANO,5,1002,30.0,1032.0,0.4844961240310077
Corregimiento Navarro,Congreso 2026,Cámara,NA,5,AFROEMPRENDIMIENTO,1,26,16.0,42.0,2.380952380952381
Corregimiento Navarro,Congreso 2026,Cámara,NA,5,ASOCIACIÓN AFRODESCENDIENTE PACÍFICO POR LA PAZ,1,26,16.0,42.0,2.380952380952381
Corregimiento Navarro,Congreso 2026,Cámara,NA,5,ASOCONEG,1,26,16.0,42.0,2.380952380952381
Corregimiento Navarro,Congreso 2026,Cámara,NA,5,COCOPEMA,1,26,16.0,42.0,2.380952380952381
Corregimiento Navarro,Congreso 2026,Cámara,NA,5,CONSEJO COMUNITARIO DE COMUNIDADES NEGRAS CUENCA RÍO OVEJAS,1,26,16.0,42.0,2.380952380952381
Corregimiento Navarro,Congreso 2026,Cámara,NA,5,CONSEJO COMUNITARIO DE LA COMUNIDAD NEGRA DE LIMONES,1,26,16.0,42.0,2.380952380952381
Corregimiento Navarro,Congreso 2026,Cámara,NA,5,"CONSEJO COMUNITARIO DE PIZARRO ""CONCOPI""",1,26,16.0,42.0,2.380952380952381
Corregimiento Navarro,Congreso 2026,Cámara,NA,5,CONSEJO COMUNITARIO DE QUINAMAYO,1,26,16.0,42.0,2.380952380952381
Corregimiento Navarro,Congreso 2026,Cámara,NA,5,CONSEJO COMUNITARIO EL NARANJO,5,26,16.0,42.0,11.904761904761903
Corregimiento Navarro,Congreso 2026,Cámara,NA,5,CONSEJO COMUNITARIO LA GRAN VÍA DE LOS REMEDIOS,1,26,16.0,42.0,2.380952380952381
Corregimiento Navarro,Congreso 2026,Cámara,NA,5,CONSEJO COMUNITARIO MANUEL ZAPATA OLIVELLA DE SAN ANTERO,2,26,16.0,42.0,4.761904761904762
Corregimiento Navarro,Congreso 2026,Cámara,NA,5,"EXPRESIÓN AFRO, AMBIENTAL Y CULTURAL COLOMBIA CON DIGNIDAD",2,26,16.0,42.0,4.761904761904762
Corregimiento Navarro,Congreso 2026,Cámara,NA,5,PARTIDO ECOLOGISTA COLOMBIANO,8,26,16.0,42.0,19.047619047619047
Corregimiento Navarro,Congreso 2026,Senado,NA,0,AHORA COLOMBIA,57,1038,26.0,1064.0,5.357142857142857
Corregimiento Navarro,Congreso 2026,Senado,NA,0,ALIANZA POR COLOMBIA,33,1038,26.0,1064.0,3.101503759398496
Corregimiento Navarro,Congreso 2026,Senado,NA,0,COALICIÓN CAMBIO RADICAL - ALMA,228,1038,26.0,1064.0,21.428571428571427
Corregimiento Navarro,Congreso 2026,Senado,NA,0,COALICIÓN FUERZA CIUDADANA,3,1038,26.0,1064.0,0.28195488721804507
Corregimiento Navarro,Congreso 2026,Senado,NA,0,CREEMOS,4,1038,26.0,1064.0,0.37593984962406013
Corregimiento Navarro,Congreso 2026,Senado,NA,0,FRENTE AMPLIO UNITARIO,12,1038,26.0,1064.0,1.1278195488721803
Corregimiento Navarro,Congreso 2026,Senado,NA,0,LA LISTA DE OVIEDO - CON TODA POR COLOMBIA,4,1038,26.0,1064.0,0.37593984962406013
Corregimiento Navarro,Congreso 2026,Senado,NA,0,MOVIMIENTO SALVACIÓN NACIONAL,23,1038,26.0,1064.0,2.161654135338346
Corregimiento Navarro,Congreso 2026,Senado,NA,0,PACTO HISTÓRICO SENADO,429,1038,26.0,1064.0,40.31954887218045
Corregimiento Navarro,Congreso 2026,Senado,NA,0,PARTIDO CENTRO DEMOCRÁTICO,48,1038,26.0,1064.0,4.511278195488721
Corregimiento Navarro,Congreso 2026,Senado,NA,0,PARTIDO CONSERVADOR COLOMBIANO,42,1038,26.0,1064.0,3.9473684210526314
Corregimiento Navarro,Congreso 2026,Senado,NA,0,PARTIDO DE LA UNIÓN POR LA GENTE - PARTIDO DE LA U,97,1038,26.0,1064.0,9.11654135338346
Corregimiento Navarro,Congreso 2026,Senado,NA,0,PARTIDO LIBERAL COLOMBIANO,55,1038,26.0,1064.0,5.169172932330826
Corregimiento Navarro,Congreso 2026,Senado,NA,0,PARTIDO POLÍTICO OXÍGENO,1,1038,26.0,1064.0,0.09398496240601503
Corregimiento Navarro,Congreso 2026,Senado,NA,0,PATRIOTAS,2,1038,26.0,1064.0,0.18796992481203006
Corregimiento Navarro,Congreso 2026,Senado,NA,4,CABILDO INDÉGENA TEVIS,1,1,8.0,9.0,11.11111111111111
Corregimiento Navarro,Presidencia 2026,Presidencia,1V,0,ABELARDO DE LA ESPRIELLA,272,1187,37.0,1224.0,22.22222222222222
Corregimiento Navarro,Presidencia 2026,Presidencia,1V,0,CLAUDIA LÓPEZ,8,1187,37.0,1224.0,0.6535947712418301
Corregimiento Navarro,Presidencia 2026,Presidencia,1V,0,GUSTAVO MATAMOROS CAMACHO,1,1187,37.0,1224.0,0.08169934640522876
Corregimiento Navarro,Presidencia 2026,Presidencia,1V,0,IVÁN CEPEDA CASTRO,795,1187,37.0,1224.0,64.95098039215686
Corregimiento Navarro,Presidencia 2026,Presidencia,1V,0,MIGUEL URIBE LONDOÑO,6,1187,37.0,1224.0,0.49019607843137253
Corregimiento Navarro,Presidencia 2026,Presidencia,1V,0,PALOMA VALENCIA LASERNA,67,1187,37.0,1224.0,5.473856209150327
