archivo,eleccion,vuelta,ambito,filas,votos
Presidenciales 2026 PV CALI.csv,Presidencia 2026,1V,Cali,40437,1066623
Presidenciales 2026 PV VALLE.csv,Presidencia 2026,1V,Valle,86885,2137681
Presidenciales 2026 SV CALI.csv,Presidencia 2026,2V,Cali,19128,1151118
Presidenciales 2026 SV  VALLE.csv,Presidencia 2026,2V,Valle,41675,2328281
Senado y Camara Cali.csv,Congreso 2026,NA,Cali,511062,2028622
Senado y Camara Valle.csv,Congreso 2026,NA,Valle,1011579,4173461
